Subfunction,StandardSubfunction
"1.1 Executive and legislative organs, financial and fiscal affairs, external affairs","1.1 Executive and legislative organs, financial and fiscal affairs, external affairs"
1.2 Foreign economic aid,1.2 Foreign economic aid
1.3 General services,1.3 General services
1.4 Basic research,1.4 Basic research
1.5 R&D general public services,1.5 R&D general public services
1.6 General public services n.e.c.,1.6 General public services n.e.c.
1.7 of which: Bank of England Debt Interest,1.7 Public debt transactions; of which: Bank of England Debt Interest
1.7 of which: Central Government Debt Interest,1.7 Public debt transactions; of which: central government debt interest 
1.7 of which: Local Government Debt Interest,1.7 Public debt transactions; of which: local authority debt interest 
1.7 of which: Public Corporation Debt Interest,1.7 Public debt transactions; of which: public corporations debt interest 
1.7 Public debt transactions - of which: central government debt interest ,1.7 Public debt transactions; of which: central government debt interest 
1.7 Public debt transactions - of which: local authority debt interest ,1.7 Public debt transactions; of which: local authority debt interest 
1.7 Public debt transactions - of which: public corporations debt interest ,1.7 Public debt transactions; of which: public corporations debt interest 
1.8 Transfers of a general character between different levels of government,1.8 Transfers of a general character between different levels of government
"10.1 Sickness and disability - of which: incapacity, disability and injury benefits","10.1 Sickness and disability; of which: incapacity, disability and injury benefits"
10.1 Sickness and disability - of which: personal social services (sickness and disability),10.1 Sickness and disability; of which: personal social services
"10.1 Sickness and disability; of which: incapacity, disability and injury benefits","10.1 Sickness and disability; of which: incapacity, disability and injury benefits"
10.1 Sickness and disability; of which: personal social services,10.1 Sickness and disability; of which: personal social services
10.2 Old age - of which: pensions,10.2 Old age; of which: pensions
10.2 Old age - of which: personal social services (old age),10.2 Old age; of which: personal social services
10.2 Old age; of which: pensions,10.2 Old age; of which: pensions
10.2 Old age; of which: personal social services,10.2 Old age; of which: personal social services
10.3 Survivors,10.3 Survivors
10.3 Survivors - of which: widow's benefits,10.3 Survivors; of which: widow's benefits
"10.4 Family and children - of which: family benefits, income support and tax credits","10.4 Family and children; of which: family benefits, income support and tax credits"
10.4 Family and children - of which: personal social services (family and children),10.4 Family and children; of which: personal social services
"10.4 Family and children; of which: family benefits, income support and tax credits","10.4 Family and children; of which: family benefits, income support and tax credits"
10.4 Family and children; of which: personal social services,10.4 Family and children; of which: personal social services
10.5 Unemployment - of which: other unemployment benefits,10.5 Unemployment; of which: other unemployment benefits
10.5 Unemployment - of which: personal social services (unemployment),10.5 Unemployment; of which: personal social services (unemployment)
10.5 Unemployment; of which: other unemployment benefits,10.5 Unemployment; of which: other unemployment benefits
10.6 Housing,10.6 Housing
"10.7 Social exclusion n.e.c. - of which: family benefits, income support and tax credits","10.7 Social exclusion n.e.c.; of which: family benefits, income support and tax credits"
10.7 Social exclusion n.e.c. - of which: personal social services (social exclusion n.e.c.),10.7 Social exclusion n.e.c.; of which: personal social services
"10.7 Social exclusion n.e.c.; of which: family benefits, income support and tax credits","10.7 Social exclusion n.e.c.; of which: family benefits, income support and tax credits"
10.7 Social exclusion n.e.c.; of which: personal social services,10.7 Social exclusion n.e.c.; of which: personal social services
10.8 R&D social protection,10.8 R&D social protection
10.9 Social protection n.e.c.,10.9 Social protection n.e.c.
2.1 Military defence,2.1 Military defence
2.2 Civil defence,2.2 Civil defence
2.3 Foreign military aid,2.3 Foreign military aid
2.4 R&D defence,2.4 R&D defence
2.5 Defence n.e.c,2.5 Defence n.e.c.
2.5 Defence n.e.c.,2.5 Defence n.e.c.
3.1 of which: immigration and citizenship,3.1 Police services; of which: immigration and citizenship
3.1 of which: other police services,3.1 Police services; of which: other police services
3.1 Police services - of which: immigration and citizenship,3.1 Police services; of which: immigration and citizenship
3.1 Police services - of which: other police services,3.1 Police services; of which: other police services
3.2 Fire-protection services,3.2 Fire-protection services
3.3 Law courts,3.3 Law courts
3.4 Prisons,3.4 Prisons
3.5 R&D public order and safety,3.5 R&D public order and safety
3.6 Public order and safety n.e.c.,3.6 Public order and safety n.e.c.
"4.1 General economic, commercial and labour affairs","4.1 General economic, commercial and labour affairs"
"4.2 Agriculture, forestry, fishing and hunting - of which: forestry","4.2 Agriculture, forestry, fishing and hunting; of which: forestry"
"4.2 Agriculture, forestry, fishing and hunting - of which: market support under CAP","4.2 Agriculture, forestry, fishing and hunting; of which: market support under CAP"
"4.2 Agriculture, forestry, fishing and hunting - of which: other agriculture, food and fisheries policy","4.2 Agriculture, forestry, fishing and hunting; of which: other agriculture, food and fisheries policy"
4.2 of which: forestry,"4.2 Agriculture, forestry, fishing and hunting; of which: forestry"
4.2 of which: market support under CAP,"4.2 Agriculture, forestry, fishing and hunting; of which: market support under CAP"
"4.2 of which: other agriculture, food and fisheries policy","4.2 Agriculture, forestry, fishing and hunting; of which: other agriculture, food and fisheries policy"
4.3 Fuel and energy,4.3 Fuel and energy
"4.4 Mining, manufacturing and construction","4.4 Mining, manufacturing and construction"
4.5 of which: local public transport,4.5 Transport; of which: local public transport
4.5 of which: local roads,4.5 Transport; of which: local roads
4.5 of which: national roads,4.5 Transport; of which: national roads
4.5 of which: other transport,4.5 Transport; of which: other transport
4.5 of which: railway,4.5 Transport; of which: railway
4.5 Transport - of which: local public transport,4.5 Transport; of which: local public transport
4.5 Transport - of which: local roads,4.5 Transport; of which: local roads
4.5 Transport - of which: national roads,4.5 Transport; of which: national roads
4.5 Transport - of which: other transport,4.5 Transport; of which: other transport
4.5 Transport - of which: railway,4.5 Transport; of which: railway
4.6 Communication,4.6 Communication
4.7 Other Industries,4.7 Other Industries
4.8 R&D economic affairs,4.8 R&D economic affairs
4.9 Economic affairs n.e.c,4.9 Economic affairs n.e.c.
4.9 Economic affairs n.e.c.,4.9 Economic affairs n.e.c.
5.1 Waste management,5.1 Waste management
5.2 Waste water management,5.2 Waste water management
5.3 Pollution abatement,5.3 Pollution abatement
5.4 Protection of biodiversity and landscape,5.4 Protection of biodiversity and landscape
5.5 R&D environment protection,5.5 R&D environment protection
5.6 Environment protection n.e.c,5.6 Environment protection n.e.c.
5.6 Environment protection n.e.c.,5.6 Environment protection n.e.c.
6.1 Housing development - of which: local authority housing,6.1 Housing development; of which: local authority housing
6.1 Housing development - of which: other social housing,6.1 Housing development; of which: other social housing
6.1 of which: local authority housing,6.1 Housing development; of which: local authority housing
6.1 of which: other social housing,6.1 Housing development; of which: other social housing
6.2 Community development,6.2 Community development
6.3 Water supply,6.3 Water supply
6.4 Street lighting,6.4 Street lighting
6.5 R&D housing and community amenities,6.5 R&D housing and community amenities
6.6 Housing and community amenities n.e.c,6.6 Housing and community amenities n.e.c.
6.6 Housing and community amenities n.e.c.,6.6 Housing and community amenities n.e.c.
7. Central and other health services,7. Central and other health services
7. Health research,7.B Medical research
7. Medical services,7.A Medical services
7.A Medical services,7.A Medical services
7.B Medical research,7.B Medical research
7.C Central and other health services,7.C Central and other health services
8.1 Recreational and sporting services,8.1 Recreational and sporting services
8.2 Cultural services,8.2 Cultural services
8.3 Broadcasting and publishing services,8.3 Broadcasting and publishing services
8.4 Religious and other community services,8.4 Religious and other community services
"8.5 R&D recreation, culture and religion","8.5 R&D recreation, culture and religion"
"8.6 Recreation, culture and religion n.e.c","8.6 Recreation, culture and religion n.e.c."
"8.6 Recreation, culture and religion n.e.c.","8.6 Recreation, culture and religion n.e.c."
9.1 of which: primary education,9.1 Pre-primary and primary education; of which: primary education
9.1 of which: under fives,9.1 Pre-primary and primary education; of which: under fives
9.1 Pre-primary and primary education - of which: primary education,9.1 Pre-primary and primary education; of which: primary education
9.1 Pre-primary and primary education - of which: under fives,9.1 Pre-primary and primary education; of which: under fives
9.2 Secondary education,9.2 Secondary education
9.3 Post-secondary non-tertiary education,9.3 Post-secondary non-tertiary education
9.4 Tertiary education,9.4 Tertiary education
9.5 Education not definable by level,9.5 Education not definable by level
9.6 Subsidiary services to education,9.6 Subsidiary services to education
9.7 R&D education,9.7 R&D education
9.8 Education n.e.c,9.8 Education n.e.c.
9.8 Education n.e.c.,9.8 Education n.e.c.
Attributed aid and CFSP,Attributed aid and CFSP
Departmental unallocated provision,Departmental unallocated provision
EC receipts,EC receipts
EU transactions,EU transactions
of which: GNI-based contribution,of which: GNI-based contribution
of which: Receipts to cover collection costs,of which: Receipts to cover collection costs
of which: UK abatement,of which: UK abatement
